r,g,b,low_s,high_s,low_v,high_v,pan,reverb
1.0,0.0,0.9920905381118974,0.0,1.0,0,8,0.49833333333333335,0.535
0.1464023915463899,1.0,0.0,0.004975124378109435,1.0,0,8,0.49833333333333335,0.435
0.687728104348249,0.0,1.0,0.027777777777777835,1.0,1,8,0.465,0.36833333333333335
